咪咕央卫,#genre#
BWF 经典重映-梁王组合夺世锦赛首金 全场回放（鸿昆、高昉洁、杜玥、刘雨辰、黄雅琼）（50帧原画） 12:00,http://45.192.97.170:8880/play/96.m3u8
BWF 经典重映-梁王组合夺世锦赛首金 全场回放（明星视角） 12:00,http://45.192.97.170:8880/play/97.m3u8
美国网球公开赛 精彩回顾：郑钦文 vs 布蕾尔 精彩回顾：2026美国网球公开赛资格赛回放：郑钦文vs布蕾尔 12:00,http://45.192.97.170:8880/play/98.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 全场回放（周赫、蔡凯臣） 12:55,http://45.192.97.170:8880/play/99.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 全场回放（赛场原声） 12:55,http://45.192.97.170:8880/play/100.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】重庆瀚动12:22浙江普徕 12:55,http://45.192.97.170:8880/play/101.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】北京控股20:16山东 12:55,http://45.192.97.170:8880/play/102.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】深圳龙华启航18:17无锡文旅惠汕 12:55,http://45.192.97.170:8880/play/103.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】贵州贵阳丝恋17:15广东悦跑豹猫 12:55,http://45.192.97.170:8880/play/104.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】浙江普徕17:19上海横沙誉民 12:55,http://45.192.97.170:8880/play/105.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】山东13:21上海久事 12:55,http://45.192.97.170:8880/play/106.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】无锡文旅惠汕14:21宁波海曙捷英 12:55,http://45.192.97.170:8880/play/107.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】广东悦跑豹猫17:21南昌凯锆商贸 12:55,http://45.192.97.170:8880/play/108.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】上海横沙誉民21:14重庆瀚动 12:55,http://45.192.97.170:8880/play/109.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】上海久事21:12北京控股 12:55,http://45.192.97.170:8880/play/110.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】宁波海曙捷英22:14深圳龙华启航 12:55,http://45.192.97.170:8880/play/111.m3u8
超三联赛 超三联赛 仁怀大区赛 A档小组赛 【回放】南昌凯锆商贸18:21贵州贵阳丝恋 12:55,http://45.192.97.170:8880/play/112.m3u8
斯诺克 赵心童VS常冰玉 【回放】赵心童4-5常冰玉（柏林） 14:00,http://45.192.97.170:8880/play/113.m3u8
斯诺克 赵心童VS常冰玉 【回放】赵心童4-5常冰玉（赛场原声） 14:00,http://45.192.97.170:8880/play/114.m3u8
美国网球公开赛 精彩回顾：郑钦文 vs 普里丹金娜 精彩回顾：2026美国网球公开赛资格赛回放：郑钦文vs普里丹金娜 14:00,http://45.192.97.170:8880/play/115.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 主赛（王琰博、张伟丽、李景亮） 14:55,http://45.192.97.170:8880/play/116.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 主赛（英文原声） 14:55,http://45.192.97.170:8880/play/117.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 副赛（王琰博、张伟丽、李景亮） 14:55,http://45.192.97.170:8880/play/118.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 副赛（英文原声） 14:55,http://45.192.97.170:8880/play/119.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 主赛（解说席视角） 14:55,http://45.192.97.170:8880/play/120.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 主赛（上帝视角） 14:55,http://45.192.97.170:8880/play/121.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 主赛（混采区视角） 14:55,http://45.192.97.170:8880/play/122.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 主赛（媒体室视角） 14:55,http://45.192.97.170:8880/play/123.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 副赛（媒体室视角） 14:55,http://45.192.97.170:8880/play/124.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 副赛（混采区视角） 14:55,http://45.192.97.170:8880/play/125.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 副赛（解说席视角） 14:55,http://45.192.97.170:8880/play/126.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 副赛（上帝视角） 14:55,http://45.192.97.170:8880/play/127.m3u8
UFC格斗之夜 拯救主场！宋亚东一拳KO打晕乌马尔 激战前夜全场回放：宋亚东vs乌马尔特辑（陈瑞阳） 14:55,http://45.192.97.170:8880/play/128.m3u8
徽青赛 黄山VS宿州 全场回放 16:00,http://45.192.97.170:8880/play/129.m3u8
海河超儿 红桥6-0河西 天津市海河足球超级联赛第4轮全场回放：红桥6:0河西（赛场原声） 16:00,http://45.192.97.170:8880/play/130.m3u8
全国女子篮球锦标赛 北京师范大学VS上海浦发银行 全场回放 15:50,http://45.192.97.170:8880/play/131.m3u8
