分类: 📺央视频道, 名称: CGTN（英语新闻）, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 67 ms, 最高速率: 7.14 MiB/s, 平均速率: 6.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN-Documentary（英语纪录）, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 151 ms, 最高速率: 3.17 MiB/s, 平均速率: 3.17 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-风云剧场, 有效: 2, IPv4: 19, IPv6: 0, 最小延迟: 78 ms, 最高速率: 40.88 MiB/s, 平均速率: 20.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-第一剧场, 有效: 4, IPv4: 21, IPv6: 0, 最小延迟: 59 ms, 最高速率: 52.46 MiB/s, 平均速率: 25.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.43, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-怀旧剧场, 有效: 1, IPv4: 19, IPv6: 0, 最小延迟: 79 ms, 最高速率: 19.16 MiB/s, 平均速率: 19.16 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-风云音乐, 有效: 4, IPv4: 19, IPv6: 0, 最小延迟: 54 ms, 最高速率: 55.63 MiB/s, 平均速率: 25.38 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.43, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-兵器科技, 有效: 4, IPv4: 17, IPv6: 0, 最小延迟: 46 ms, 最高速率: 62.42 MiB/s, 平均速率: 31.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-世界地理, 有效: 2, IPv4: 19, IPv6: 0, 最小延迟: 77 ms, 最高速率: 3.59 MiB/s, 平均速率: 2.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-风云足球, 有效: 2, IPv4: 19, IPv6: 0, 最小延迟: 76 ms, 最高速率: 5.41 MiB/s, 平均速率: 3.16 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-高尔夫·网球, 有效: 2, IPv4: 13, IPv6: 0, 最小延迟: 130 ms, 最高速率: 2.67 MiB/s, 平均速率: 1.60 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-央视台球, 有效: 3, IPv4: 17, IPv6: 0, 最小延迟: 78 ms, 最高速率: 5.07 MiB/s, 平均速率: 2.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-女性时尚, 有效: 2, IPv4: 19, IPv6: 0, 最小延迟: 76 ms, 最高速率: 5.01 MiB/s, 平均速率: 4.13 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-电视指南, 有效: 3, IPv4: 12, IPv6: 0, 最小延迟: 76 ms, 最高速率: 5.21 MiB/s, 平均速率: 2.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-央视文化精品, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 58 ms, 最高速率: 53.06 MiB/s, 平均速率: 53.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.0, 视频编解码器: h264, 音频编解码器: aac
